Size,vC,Memory,Network Bandwidth
Standard_D48ads_v7,48,192,35000
Standard_D64ads_v7,64,256,45000
Standard_D96ads_v7,96,384,70000
Standard_D128ads_v7,128,512,75000
Standard_D160ads_v7,160,640,80000
Standard_D2alds_v6,2,4,12500
Standard_D4alds_v6,4,8,12500
Standard_D8alds_v6,8,16,12500
Standard_D16alds_v6,16,32,16000
Standard_D32alds_v6,32,64,20000
Standard_D48alds_v6,48,96,28000
Standard_D64alds_v6,64,128,36000
Standard_D96alds_v6,96,192,40000
Standard_D2alds_v7,2,4,16000
Standard_D4alds_v7,4,8,16000
Standard_D8alds_v7,8,16,25000
Standard_D16alds_v7,16,32,25000
Standard_D32alds_v7,32,64,25000
Standard_D48alds_v7,48,96,35000
Standard_D64alds_v7,64,128,45000
Standard_D96alds_v7,96,192,70000
Standard_D128alds_v7,128,256,75000
Standard_D160alds_v7,160,320,80000
Standard_D2als_v6,2,4,12500
Standard_D4als_v6,4,8,12500
Standard_D8als_v6,8,16,12500
Standard_D16als_v6,16,32,16000
Standard_D32als_v6,32,64,20000
Standard_D48als_v6,48,96,28000
Standard_D64als_v6,64,128,36000
Standard_D96als_v6,96,192,40000
Standard_D2als_v7,2,4,16000
Standard_D4als_v7,4,8,16000
Standard_D8als_v7,8,16,25000
Standard_D16als_v7,16,32,25000
Standard_D32als_v7,32,64,25000
Standard_D48als_v7,48,96,35000
Standard_D64als_v7,64,128,45000
Standard_D96als_v7,96,192,70000
Standard_D128als_v7,128,256,75000
Standard_D160als_v7,160,320,80000
Standard_D2as_v4,2,8,2000
Standard_D4as_v4,4,16,4000
Standard_D8as_v4,8,32,8000
Standard_D16as_v4,16,64,10000
Standard_D32as_v4,32,128,16000
Standard_D48as_v4,48,192,24000
Standard_D64as_v4,64,256,32000
Standard_D96as_v4,96,384,40000
Standard_D2as_v5,2,8,12500
Standard_D4as_v5,4,16,12500
Standard_D8as_v5,8,32,12500
Standard_D16as_v5,16,64,12500
Standard_D32as_v5,32,128,16000
Standard_D48as_v5,48,192,24000
Standard_D64as_v5,64,256,32000
Standard_D96as_v5,96,384,40000
Standard_D2as_v6,2,8,12500
Standard_D4as_v6,4,16,12500
Standard_D8as_v6,8,32,12500
Standard_D16as_v6,16,64,16000
Standard_D32as_v6,32,128,20000
Standard_D48as_v6,48,192,28000
Standard_D64as_v6,64,256,36000
Standard_D96as_v6,96,384,40000
Standard_D2as_v7,2,8,16000
Standard_D4as_v7,4,16,16000
Standard_D8as_v7,8,32,25000
Standard_D16as_v7,16,64,25000
Standard_D32as_v7,32,128,25000
Standard_D48as_v7,48,192,35000
Standard_D64as_v7,64,256,45000
