Size,vC,Memory,Network Bandwidth
Standard_E32ds_v6,32,256,16000
Standard_E48ds_v6,48,384,24000
Standard_E64ds_v6,64,512,30000
Standard_E96ds_v6,96,768,41000
Standard_E128ds_v6,128,1024,54000
Standard_E192ids_v6,192,1832,200000
Standard_E2ds_v7,2,16,16000
Standard_E4ds_v7,4,32,25000
Standard_E8ds_v7,8,64,25000
Standard_E16ds_v7,16,128,25000
Standard_E20ds_v7,20,160,25000
Standard_E32ds_v7,32,256,25000
Standard_E48ds_v7,48,384,35000
Standard_E64ds_v7,64,512,45000
Standard_E96ds_v7,96,768,70000
Standard_E128ds_v7,128,1024,85000
Standard_E192ds_v7,192,1536,100000
Standard_E248ds_v7,248,1888,150000
Standard_E372ids_v7,372,2832,400000
Standard_E2d_v4,2,16,5000
Standard_E4d_v4,4,32,10000
Standard_E8d_v4,8,64,12500
Standard_E16d_v4,16,128,12500
Standard_E20d_v4,20,160,16000
Standard_E32d_v4,32,256,16000
Standard_E48d_v4,48,384,24000
Standard_E64d_v4,64,504,30000
Standard_E2d_v5,2,16,12500
Standard_E4d_v5,4,32,12500
Standard_E8d_v5,8,64,12500
Standard_E16d_v5,16,128,12500
Standard_E20d_v5,20,160,12500
Standard_E32d_v5,32,256,16000
Standard_E48d_v5,48,384,24000
Standard_E64d_v5,64,512,30000
Standard_E96d_v5,96,672,35000
Standard_E104id_v52,104,672,100000
Standard_E2nds_v6,2,16,25000
Standard_E4nds_v6,4,32,30000
Standard_E8nds_v6,8,64,40000
Standard_E16nds_v6,16,128,50000
Standard_E32nds_v6,32,256,50000
Standard_E48nds_v6,48,384,75000
Standard_E64nds_v6,64,512,100000
Standard_E96nds_v6,96,768,150000
Standard_E128nds_v6,128,1024,200000
Standard_E2ns_v6,2,16,25000
Standard_E4ns_v6,4,32,30000
Standard_E8ns_v6,8,64,40000
Standard_E16ns_v6,16,128,50000
Standard_E32ns_v6,32,256,50000
Standard_E48ns_v6,48,384,75000
Standard_E64ns_v6,64,512,100000
Standard_E96ns_v6,96,768,150000
Standard_E128ns_v6,128,1024,200000
Standard_E2pds_v5,2,16,12500
Standard_E4pds_v5,4,32,12500
Standard_E8pds_v5,8,64,12500
Standard_E16pds_v5,16,128,12500
Standard_E20pds_v5,20,160,12500
Standard_E32pds_v5,32,208,16000
Standard_E2pds_v6,2,16,12500
Standard_E4pds_v6,4,32,12500
Standard_E8pds_v6,8,64,15000
Standard_E16pds_v6,16,128,15000
Standard_E32pds_v6,32,256,20000
Standard_E48pds_v6,48,384,30000
Standard_E64pds_v6,64,512,40000
Standard_E96pds_v6,96,672,60000
Standard_E2ps_v5,2,16,12500
Standard_E4ps_v5,4,32,12500
Standard_E8ps_v5,8,64,12500
Standard_E16ps_v5,16,128,12500
Standard_E20ps_v5,20,160,12500
Standard_E32ps_v5,32,208,16000
Standard_E2ps_v6,2,16,12500
Standard_E4ps_v6,4,32,12500
Standard_E8ps_v6,8,64,15000
Standard_E16ps_v6,16,128,15000
Standard_E32ps_v6,32,256,20000
Standard_E48ps_v6,48,384,30000
Standard_E64ps_v6,64,512,40000
Standard_E96ps_v6,96,672,60000
Standard_E2s_v4,2,16,5000
Standard_E4s_v4,4,32,10000
Standard_E8s_v4,8,64,12500
Standard_E16s_v4,16,128,12500
Standard_E20s_v4,20,160,10000
Standard_E32s_v4,32,256,16000
Standard_E48s_v4,48,384,24000
Standard_E64s_v4,64,504,30000
Standard_E80is_v4,80,504,30000
Standard_E2s_v5,2,16,12500
Standard_E4s_v5,4,32,12500
Standard_E8s_v5,8,64,12500
Standard_E16s_v5,16,128,12500
Standard_E20s_v5,20,160,12500
Standard_E32s_v5,32,256,16000
Standard_E48s_v5,48,384,24000
Standard_E64s_v5,64,512,30000
Standard_E96s_v5,96,672,35000
Standard_E104is_v5,104,672,100000
Standard_E2s_v6,2,16,12500
Standard_E4s_v6,4,32,12500
Standard_E8s_v6,8,64,12500
Standard_E16s_v6,16,128,12500
Standard_E20s_v6,20,160,12500
Standard_E32s_v6,32,256,16000
Standard_E48s_v6,48,384,24000
Standard_E64s_v6,64,512,30000
Standard_E96s_v6,96,768,41000
Standard_E128s_v6,128,1024,54000
Standard_E192is_v6,192,1832,200000
Standard_E2s_v7,2,16,16000
Standard_E4s_v7,4,32,25000
Standard_E8s_v7,8,64,25000
Standard_E16s_v7,16,128,25000
Standard_E20s_v7,20,160,25000
Standard_E32s_v7,32,256,25000
Standard_E48s_v7,48,384,35000
Standard_E64s_v7,64,512,45000
Standard_E96s_v7,96,768,70000
Standard_E128s_v7,128,1024,85000
Standard_E192s_v7,192,1536,100000
Standard_E248s_v7,248,1888,150000
Standard_E372is_v7,372,2832,400000
Standard_E2_v3<sup>1</sup>,2,16,1000
Standard_E4_v3,4,32,2000
Standard_E8_v3,8,64,4000
Standard_E16_v3,16,128,8000
Standard_E20_v3,20,160,10000
Standard_E32_v3,32,256,16000
Standard_E48_v3,48,384,24000
Standard_E64_v3,64,432,30000
Standard_E64i_v3 <sup>2</sup>,64,432,30000
4000/32 (50),2,16,1000
8000/64 (100),4,32,2000
16000/128 (200),8,64,4000
32000/256 (400),16,128,8000
40000/320 (400),20,160,10000
64000/512 (800),32,256,16000
96000/768 (1200),48,384,24000
128000/1024 (1600),64,432,30000
Standard_E2_v4,2,16,5000
Standard_E4_v4,4,32,10000
Standard_E8_v4,8,64,12500
Standard_E16_v4,16,128,12500
Standard_E20_v4,20,160,10000
Standard_E32_v4,32,256,16000
Standard_E48_v4,48,384,24000
Standard_E64_v4,64,504,30000
Standard_E2_v5,2,16,12500
Standard_E4_v5,4,32,12500
Standard_E8_v5,8,64,12500
Standard_E16_v5,16,128,12500
Standard_E20_v5,20,160,12500
Standard_E32_v5,32,256,16000
Standard_E48_v5,48,384,24000
Standard_E64_v5,64,512,30000
Standard_E96_v5,96,672,30000
Standard_E104i_v5,104,672,100000
Standard_M8ms,8,218,2000
Standard_M16ms,16,437,4000
Standard_M32ts,32,192,8000
Standard_M32ls,32,256,8000
Standard_M32ms,32,875,8000
Standard_M64s,64,1024,16000
Standard_M64ls,64,512,16000
Standard_M64ms,64,1792,16000
Standard_M128s,128,2048,30000
Standard_M128ms,128,3892,30000
Standard_M64,64,1024,16000
Standard_M64m,64,1792,16000
Standard_M128,128,2048,32000
Standard_M128m,128,3892,32000
Standard_M16bds_v3,16,128,8000
Standard_M32bds_v3,32,256,16000
Standard_M48bds_v3,48,384,16000
Standard_M64bds_v3,64,512,16000
Standard_M96bds_v3,96,768,25000
Standard_M128bds_v3,128,1024,40000
Standard_M176bds_v3,176,1536,50000
Standard_M64bds_1_v3,64,1397,20000
Standard_M96bds_2_v3,96,1946,20000
Standard_M128bds_3_v3,128,2794,40000
Standard_M176bds_4_v3,176,3892,40000
Standard_M16bds_v4,16,128,16000
Standard_M32bds_v4,32,256,16000
Standard_M64bds_v4,64,512,24000
Standard_M96bds_1_v4,96,768,50000
Standard_M128bds_1_v4,128,1024,80000
Standard_M64bds_1_v4,64,1440,24000
Standard_M96bds_2_v4,96,1946,50000
Standard_M256bds_2_v4,256,2048,100000
Standard_M304bds_4_v4,304,3800,100000
Standard_M16bs_v3,16,128,8000
Standard_M32bs_v3,32,256,16000
Standard_M48bs_v3,48,384,16000
Standard_M64bs_v3,64,512,16000
Standard_M96bs_v3,96,768,25000
Standard_M128bs_v3,128,1024,40000
Standard_M176bs_v3,176,1536,50000
Standard_M416bs_v3,416,3800,50000
Standard_M16bs_v4,16,128,16000
Standard_M32bs_v4,32,256,16000
Standard_M48bs_v4,48,384,24000
Standard_M64bs_v4,64,512,24000
Standard_M96bs_1_v4,96,768,50000
Standard_M128bs_1_v4,128,1024,80000
Standard_M256bs_2_v4,256,2048,100000
Standard_M304bs_4_v4,304,3892,100000
Standard_M32dms_v2,32,875,8000
Standard_M64ds_v2,64,1024,16000
Standard_M64dms_v2,64,1792,16000
Standard_M128ds_v2,128,2048,30000
Standard_M128dms_v2,128,3892,30000
Standard_M192ids_v2,192,2048,30000
Standard_M192idms_v2,192,4096,30000
Standard_M416ds_6_v3,416,5696,40000
Standard_M416ds_8_v3,416,7600,40000
Standard_M624ds_12_v3,624,11400,40000
Standard_M832ds_12_v3,832,11400,100000
Standard_M832ids_16_v3,832,15200,100000
Standard_M12ds_v3,12,240,4000
Standard_M24ds_v3,24,480,8000
Standard_M48ds_1_v3,48,974,16000
Standard_M96ds_1_v3,96,974,16000
Standard_M96ds_2_v3,96,1946,30000
Standard_M176ds_3_v3,176,2794,40000
Standard_M176ds_4_v3,176,3892,40000
Standard_M896ixds_32_v3,896,30400,185000
Standard_M896ixds_24_v3,896,23088,185000
Standard_M1792ixds_32_v3,1792,30400,185000
Standard_M32ms_v2,32,875,8000
Standard_M64s_v2,64,1024,16000
Standard_M64ms_v2,64,1792,16000
Standard_M128s_v2,128,2048,30000
Standard_M128ms_v2,128,3892,30000
Standard_M192is_v2,192,2048,30000
Standard_M192ims_v2,192,4096,30000
Standard_M416s_6_v3,416,5696,40000
Standard_M416s_8_v3,416,7600,40000
Standard_M624s_12_v3,624,11400,40000
Standard_M832s_12_v3,832,11400,100000
Standard_M832is_16_v3,832,15200,100000
Standard_M12s_v3,12,240,4000
Standard_M24s_v3,24,480,8000
Standard_M48s_1_v3,48,974,16000
Standard_M96s_1_v3,96,974,16000
Standard_M96s_2_v3,96,1946,30000
Standard_M176s_3_v3,176,2794,40000
Standard_M176s_4_v3,176,3892,40000
Standard_M208s_v2,208,2850,16000
Standard_M208ms_v2,208,5700,16000
Standard_M416s_v2,416,5700,32000
Standard_M416s_8_v2,416,7600,32000
Standard_M416ms_v2,416,11400,32000
Standard_L2aos_v4,2,16,7500
Standard_L4aos_v4,4,32,10000
Standard_L8aos_v4,8,64,12500
Standard_L12aos_v4,12,96,18750
Standard_L16aos_v4,16,128,25000
Standard_L24aos_v4,24,192,37500
Standard_L32aos_v4,32,256,50000
Standard_L8as_v3,8,64,12500
Standard_L16as_v3,16,128,12500
Standard_L32as_v3,32,256,16000
Standard_L48as_v3,48,384,24000
Standard_L64as_v3,64,512,32000
Standard_L80as_v3,80,640,32000
Standard_L2as_v4,2,16,12500
Standard_L4as_v4,4,32,12500
Standard_L8as_v4,8,64,12500
Standard_L16as_v4,16,128,12500
Standard_L32as_v4,32,256,16000
Standard_L48as_v4,48,384,28000
Standard_L64as_v4,64,512,36000
Standard_L80as_v4,80,640,40000
Standard_L96as_v4,96,768,40000
Standard_L8s_v2,8,64,3200
Standard_L16s_v2,16,128,6400
Standard_L32s_v2,32,256,12800
Standard_L48s_v2,48,384,16000
Standard_L64s_v2,64,512,16000
Standard_L80s_v26,80,640,16000
Standard_L8s_v3,8,64,12500
Standard_L16s_v3,16,128,12500
Standard_L32s_v3,32,256,16000
Standard_L48s_v3,48,384,24000
Standard_L64s_v3,64,512,30000
Standard_L80s_v3,80,640,32000
Standard_L2s_v4,2,16,12500
Standard_L4s_v4,4,32,12500
Standard_L8s_v4,8,64,12500
Standard_L16s_v4,16,128,12500
Standard_L32s_v4,32,256,16000
Standard_L48s_v4,48,384,24000
Standard_L64s_v4,64,512,30000
Standard_L80s_v4,80,640,36000
Standard_L96s_v4,96,768,41000
