"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","On Demand","Linux Reserved cost","Linux Spot Minimum cost","Windows On Demand cost","Windows Reserved cost"
"X2GD Quadruple Extra Large","x2gd.4xlarge","256.0 GiB","16 vCPUs","950 GB                 NVMe SSD","Up to 10 Gigabit","$1.3360 hourly","$0.8233 hourly","$0.2320 hourly","unavailable","unavailable"
"TRN1 Double Extra Large","trn1.2xlarge","32.0 GiB","8 vCPUs","474 GB                 NVMe SSD","Up to 12.5 Gigabit","$1.3438 hourly","$0.8268 hourly","$0.1812 hourly","unavailable","unavailable"
"I3EN 3xlarge","i3en.3xlarge","96.0 GiB","12 vCPUs","7500 GB                 NVMe SSD","Up to 25 Gigabit","$1.3560 hourly","$0.9240 hourly","$0.1970 hourly","$1.9080 hourly","$1.4760 hourly"
"C6I Eight Extra Large","c6i.8xlarge","64.0 GiB","32 vCPUs","EBS only","12.5 Gigabit","$1.3600 hourly","$0.8996 hourly","$0.4161 hourly","$2.8320 hourly","$2.3716 hourly"
"I4I Quadruple Extra Large","i4i.4xlarge","128.0 GiB","16 vCPUs","3750 GB                 NVMe SSD","Up to 25 Gigabit","$1.3730 hourly","$0.8910 hourly","$0.3553 hourly","$2.1090 hourly","$1.6270 hourly"
"M5A Eight Extra Large","m5a.8xlarge","128.0 GiB","32 vCPUs","EBS only","Up to 10 Gigabit","$1.3760 hourly","$0.8670 hourly","$0.4305 hourly","$2.8480 hourly","$2.3390 hourly"
"C5AD Eight Extra Large","c5ad.8xlarge","64.0 GiB","32 vCPUs","1200 GB                 (2 * 600 GB NVMe SSD)","10 Gigabit","$1.3760 hourly","$0.8670 hourly","$0.7007 hourly","$2.8480 hourly","$2.3390 hourly"
"D2 Double Extra Large","d2.2xlarge","61.0 GiB","8 vCPUs","12288 GB                 (6 * 2048 GB HDD)","High","$1.3800 hourly","$0.8040 hourly","$0.3730 hourly","$1.6010 hourly","$0.8850 hourly"
"C6GN Eight Extra Large","c6gn.8xlarge","64.0 GiB","32 vCPUs","EBS only","50 Gigabit","$1.3824 hourly","$0.8725 hourly","$0.2844 hourly","unavailable","unavailable"
"M6A Eight Extra Large","m6a.8xlarge","128.0 GiB","32 vCPUs","EBS only","12.5 Gigabit","$1.3824 hourly","$0.9145 hourly","$0.5548 hourly","$2.8544 hourly","$2.3865 hourly"
"R6IN Quadruple Extra Large","r6in.4xlarge","128.0 GiB","16 vCPUs","EBS only","Up to 50 Gigabit","$1.3946 hourly","$0.8786 hourly","$0.2970 hourly","$2.1306 hourly","$1.6146 hourly"
"C7I Eight Extra Large","c7i.8xlarge","64.0 GiB","32 vCPUs","EBS only","12.5 Gigabit","$1.4280 hourly","$0.9446 hourly","$0.4415 hourly","$2.9000 hourly","$2.4166 hourly"
"M6GD Eight Extra Large","m6gd.8xlarge","128.0 GiB","32 vCPUs","1900 GB                 NVMe SSD","12 Gigabit","$1.4464 hourly","$0.9112 hourly","$0.2742 hourly","unavailable","unavailable"
"C7GD Eight Extra Large","c7gd.8xlarge","64.0 GiB","32 vCPUs","1900 GB                 NVMe SSD","15 Gigabit","$1.4515 hourly","$0.9148 hourly","$0.3231 hourly","unavailable","unavailable"
"IM4GN Quadruple Extra Large","im4gn.4xlarge","64.0 GiB","16 vCPUs","7500 GB                 NVMe SSD","25 Gigabit","$1.4552 hourly","$0.9332 hourly","$0.2405 hourly","unavailable","unavailable"
"C5 High-CPU 9xlarge","c5.9xlarge","72.0 GiB","36 vCPUs","EBS only","12 Gigabit","$1.5300 hourly","$0.9640 hourly","$0.4652 hourly","$3.1860 hourly","$2.6200 hourly"
"M7I-FLEX Eight Extra Large","m7i-flex.8xlarge","128.0 GiB","32 vCPUs","EBS only","Up to 12.5 Gigabit","$1.5322 hourly","$1.0135 hourly","$0.5154 hourly","$2.9306 hourly","$2.4119 hourly"
