name,series,family,description,location,region,regionLocation,regionLocationLong,regionLocationCountryCode,regionCfe,regionCo2Kwh,regionLowCo2,regionLat,regionLng,regionPublicIpv4Addr,zoneCount,zones,vCpus,sharedCpu,intel,amd,arm,cpuPlatformCount,cpuPlatform,cpuBaseClock,cpuTurboClock,cpuSingleMaxTurboClock,availableCpuPlatformCount,availableCpuPlatform,coremarkScore,standardDeviation,sampleCount,memoryGB,acceleratorCount,acceleratorType,disks,disksSizeGb,localSsd,bandwidth,tier1,sap,saps,hana,sud,spot,hour,hourSpot,month,month1yCud,month3yCud,monthSpot,monthSles,monthSlesSap,monthSlesSap1yCud,monthSlesSap3yCud,monthRhel,monthRhel1yCud,monthRhel3yCud,monthRhelSap,monthRhelSap1yCud,monthRhelSap3yCud,monthWindows
c2d-highcpu-112,c2d,Compute-optimized,"112 vCPUs, 224 GB RAM",us,us-east1,"South Carolina","Moncks Corner, South Carolina, USA",US,29.0,560.0,0.0,33.8361,-81.1637,1213184.0,3.0,"us-east1-b, us-east1-c, us-east1-d",112.0,0,0.0,1.0,0.0,1.0,"AMD Milan",2.45,2.8,3.5,1.0,"AMD Milan",2299260.0,0.37,40.0,224.0,"","",128.0,524288.0,1.0,32.0,100.0,0.0,"",0.0,0.0,1.0,4.197872,1.051232,3064.44656,1930.51712,1378.8824,767.39936,80.3,299.3,119.939,107.748,883.008,883.008,883.008,1328.6,1328.6,1328.6,3760.96
c2d-highcpu-16,c2d,Compute-optimized,"16 vCPUs, 32 GB RAM",us,us-east1,"South Carolina","Moncks Corner, South Carolina, USA",US,29.0,560.0,0.0,33.8361,-81.1637,1213184.0,3.0,"us-east1-b, us-east1-c, us-east1-d",16.0,0,0.0,1.0,0.0,1.0,"AMD Milan",2.45,2.8,3.5,1.0,"AMD Milan",354771.0,0.79,308.0,32.0,"","",128.0,263168.0,1.0,32.0,0.0,0.0,"",0.0,0.0,1.0,0.599696,0.150176,437.77808,275.78816,196.9832,109.62848,80.3,299.3,119.939,107.748,126.144,126.144,126.144,189.8,189.8,189.8,537.28
c2d-highcpu-2,c2d,Compute-optimized,"2 vCPUs, 4 GB RAM",us,us-east1,"South Carolina","Moncks Corner, South Carolina, USA",US,29.0,560.0,0.0,33.8361,-81.1637,1213184.0,3.0,"us-east1-b, us-east1-c, us-east1-d",2.0,0,0.0,1.0,0.0,1.0,"AMD Milan",2.45,2.8,3.5,1.0,"AMD Milan",44678.0,0.74,1844.0,4.0,"","",128.0,263168.0,1.0,10.0,0.0,0.0,"",0.0,0.0,1.0,0.074962,0.018772,54.72226,34.47352,24.6229,13.70356,80.3,124.1,50.005,44.7198,21.024,21.024,21.024,32.85,32.85,32.85,67.16
c2d-highcpu-32,c2d,Compute-optimized,"32 vCPUs, 64 GB RAM",us,us-east1,"South Carolina","Moncks Corner, South Carolina, USA",US,29.0,560.0,0.0,33.8361,-81.1637,1213184.0,3.0,"us-east1-b, us-east1-c, us-east1-d",32.0,0,0.0,1.0,0.0,1.0,"AMD Milan",2.45,2.8,3.5,1.0,"AMD Milan",710036.0,0.62,160.0,64.0,"","",128.0,524288.0,1.0,32.0,50.0,0.0,"",0.0,0.0,1.0,1.199392,0.300352,875.55616,551.57632,393.9664,219.25696,80.3,299.3,119.939,107.748,252.288,252.288,252.288,379.6,379.6,379.6,1074.56
c2d-highcpu-4,c2d,Compute-optimized,"4 vCPUs, 8 GB RAM",us,us-east1,"South Carolina","Moncks Corner, South Carolina, USA",US,29.0,560.0,0.0,33.8361,-81.1637,1213184.0,3.0,"us-east1-b, us-east1-c, us-east1-d",4.0,0,0.0,1.0,0.0,1.0,"AMD Milan",2.45,2.8,3.5,1.0,"AMD Milan",86953.0,0.72,1176.0,8.0,"","",128.0,263168.0,1.0,10.0,0.0,0.0,"",0.0,0.0,1.0,0.149924,0.037544,109.44452,68.94704,49.2458,27.40712,80.3,248.2,100.01,89.425,42.048,42.048,42.048,65.7,65.7,65.7,134.32
c2d-highcpu-56,c2d,Compute-optimized,"56 vCPUs, 112 GB RAM",us,us-east1,"South Carolina","Moncks Corner, South Carolina, USA",US,29.0,560.0,0.0,33.8361,-81.1637,1213184.0,3.0,"us-east1-b, us-east1-c, us-east1-d",56.0,0,0.0,1.0,0.0,1.0,"AMD Milan",2.45,2.8,3.5,1.0,"AMD Milan",1244008.0,0.56,92.0,112.0,"","",128.0,524288.0,1.0,32.0,50.0,0.0,"",0.0,0.0,1.0,2.098936,0.525616,1532.22328,965.25856,689.4412,383.69968,80.3,299.3,119.939,107.748,441.504,441.504,441.504,664.3,664.3,664.3,1880.48
c2d-highcpu-8,c2d,Compute-optimized,"8 vCPUs, 16 GB RAM",us,us-east1,"South Carolina","Moncks Corner, South Carolina, USA",US,29.0,560.0,0.0,33.8361,-81.1637,1213184.0,3.0,"us-east1-b, us-east1-c, us-east1-d",8.0,0,0.0,1.0,0.0,1.0,"AMD Milan",2.45,2.8,3.5,1.0,"AMD Milan",177774.0,0.81,596.0,16.0,"","",128.0,263168.0,1.0,16.0,0.0,0.0,"",0.0,0.0,1.0,0.299848,0.075088,218.88904,137.89408,98.4916,54.81424,80.3,299.3,119.939,107.748,84.096,84.096,84.096,131.4,131.4,131.4,268.64
c2d-highmem-112,c2d,Compute-optimized,"112 vCPUs, 896 GB RAM",us,us-east1,"South Carolina","Moncks Corner, South Carolina, USA",US,29.0,560.0,0.0,33.8361,-81.1637,1213184.0,3.0,"us-east1-b, us-east1-c, us-east1-d",112.0,0,0.0,1.0,0.0,1.0,"AMD Milan",2.45,2.8,3.5,1.0,"AMD Milan",2294226.0,0.78,40.0,896.0,"","",128.0,524288.0,1.0,32.0,100.0,1.0,190150.0,0.0,0.0,1.0,6.85832,1.718528,5006.5736,3153.97376,2252.56976,1254.52544,80.3,299.3,119.939,107.748,883.008,883.008,883.008,1328.6,1328.6,1328.6,3760.96
c2d-highmem-16,c2d,Compute-optimized,"16 vCPUs, 128 GB RAM",us,us-east1,"South Carolina","Moncks Corner, South Carolina, USA",US,29.0,560.0,0.0,33.8361,-81.1637,1213184.0,3.0,"us-east1-b, us-east1-c, us-east1-d",16.0,0,0.0,1.0,0.0,1.0,"AMD Milan",2.45,2.8,3.5,1.0,"AMD Milan",354656.0,0.89,317.0,128.0,"","",128.0,263168.0,1.0,32.0,0.0,1.0,28343.0,0.0,0.0,1.0,0.97976,0.245504,715.2248,450.56768,321.79568,179.21792,80.3,299.3,119.939,107.748,126.144,126.144,126.144,189.8,189.8,189.8,537.28
c2d-highmem-2,c2d,Compute-optimized,"2 vCPUs, 16 GB RAM",us,us-east1,"South Carolina","Moncks Corner, South Carolina, USA",US,29.0,560.0,0.0,33.8361,-81.1637,1213184.0,3.0,"us-east1-b, us-east1-c, us-east1-d",2.0,0,0.0,1.0,0.0,1.0,"AMD Milan",2.45,2.8,3.5,1.0,"AMD Milan",44649.0,0.88,1848.0,16.0,"","",128.0,263168.0,1.0,10.0,0.0,1.0,3543.0,0.0,0.0,1.0,0.12247,0.030688,89.4031,56.32096,40.22446,22.40224,80.3,124.1,50.005,44.7198,21.024,21.024,21.024,32.85,32.85,32.85,67.16
c2d-highmem-32,c2d,Compute-optimized,"32 vCPUs, 256 GB RAM",us,us-east1,"South Carolina","Moncks Corner, South Carolina, USA",US,29.0,560.0,0.0,33.8361,-81.1637,1213184.0,3.0,"us-east1-b, us-east1-c, us-east1-d",32.0,0,0.0,1.0,0.0,1.0,"AMD Milan",2.45,2.8,3.5,1.0,"AMD Milan",709754.0,0.63,160.0,256.0,"","",128.0,524288.0,1.0,32.0,50.0,1.0,56686.0,0.0,0.0,1.0,1.95952,0.491008,1430.4496,901.13536,643.59136,358.43584,80.3,299.3,119.939,107.748,252.288,252.288,252.288,379.6,379.6,379.6,1074.56
c2d-highmem-4,c2d,Compute-optimized,"4 vCPUs, 32 GB RAM",us,us-east1,"South Carolina","Moncks Corner, South Carolina, USA",US,29.0,560.0,0.0,33.8361,-81.1637,1213184.0,3.0,"us-east1-b, us-east1-c, us-east1-d",4.0,0,0.0,1.0,0.0,1.0,"AMD Milan",2.45,2.8,3.5,1.0,"AMD Milan",86956.0,0.81,1176.0,32.0,"","",128.0,263168.0,1.0,10.0,0.0,1.0,7086.0,0.0,0.0,1.0,0.24494,0.061376,178.8062,112.64192,80.44892,44.80448,80.3,248.2,100.01,89.425,42.048,42.048,42.048,65.7,65.7,65.7,134.32
c2d-highmem-56,c2d,Compute-optimized,"56 vCPUs, 448 GB RAM",us,us-east1,"South Carolina","Moncks Corner, South Carolina, USA",US,29.0,560.0,0.0,33.8361,-81.1637,1213184.0,3.0,"us-east1-b, us-east1-c, us-east1-d",56.0,0,0.0,1.0,0.0,1.0,"AMD Milan",2.45,2.8,3.5,1.0,"AMD Milan",1242783.0,0.43,92.0,448.0,"","",128.0,524288.0,1.0,32.0,50.0,1.0,99200.0,0.0,0.0,1.0,3.42916,0.859264,2503.2868,1576.98688,1126.28488,627.26272,80.3,299.3,119.939,107.748,441.504,441.504,441.504,664.3,664.3,664.3,1880.48
c2d-highmem-8,c2d,Compute-optimized,"8 vCPUs, 64 GB RAM",us,us-east1,"South Carolina","Moncks Corner, South Carolina, USA",US,29.0,560.0,0.0,33.8361,-81.1637,1213184.0,3.0,"us-east1-b, us-east1-c, us-east1-d",8.0,0,0.0,1.0,0.0,1.0,"AMD Milan",2.45,2.8,3.5,1.0,"AMD Milan",177882.0,0.77,596.0,64.0,"","",128.0,263168.0,1.0,16.0,0.0,1.0,14171.0,0.0,0.0,1.0,0.48988,0.122752,357.6124,225.28384,160.89784,89.60896,80.3,299.3,119.939,107.748,84.096,84.096,84.096,131.4,131.4,131.4,268.64
c2d-standard-112,c2d,Compute-optimized,"112 vCPUs, 448 GB RAM",us,us-east1,"South Carolina","Moncks Corner, South Carolina, USA",US,29.0,560.0,0.0,33.8361,-81.1637,1213184.0,3.0,"us-east1-b, us-east1-c, us-east1-d",112.0,0,0.0,1.0,0.0,1.0,"AMD Milan",2.45,2.8,3.5,1.0,"AMD Milan",2299545.0,0.58,40.0,448.0,"","",128.0,524288.0,1.0,32.0,100.0,1.0,189400.0,0.0,0.0,1.0,5.084688,1.273664,3711.82224,2338.336,1670.11152,929.77472,80.3,299.3,119.939,107.748,883.008,883.008,883.008,1328.6,1328.6,1328.6,3760.96
c2d-standard-16,c2d,Compute-optimized,"16 vCPUs, 64 GB RAM",us,us-east1,"South Carolina","Moncks Corner, South Carolina, USA",US,29.0,560.0,0.0,33.8361,-81.1637,1213184.0,3.0,"us-east1-b, us-east1-c, us-east1-d",16.0,0,0.0,1.0,0.0,1.0,"AMD Milan",2.45,2.8,3.5,1.0,"AMD Milan",354249.0,0.88,312.0,64.0,"","",128.0,263168.0,1.0,32.0,0.0,1.0,28357.0,0.0,0.0,1.0,0.726384,0.181952,530.26032,334.048,238.58736,132.82496,80.3,299.3,119.939,107.748,126.144,126.144,126.144,189.8,189.8,189.8,537.28
c2d-standard-2,c2d,Compute-optimized,"2 vCPUs, 8 GB RAM",us,us-east1,"South Carolina","Moncks Corner, South Carolina, USA",US,29.0,560.0,0.0,33.8361,-81.1637,1213184.0,3.0,"us-east1-b, us-east1-c, us-east1-d",2.0,0,0.0,1.0,0.0,1.0,"AMD Milan",2.45,2.8,3.5,1.0,"AMD Milan",44674.0,0.74,1832.0,8.0,"","",128.0,263168.0,1.0,10.0,0.0,1.0,3545.0,0.0,0.0,1.0,0.090798,0.022744,66.28254,41.756,29.82342,16.60312,80.3,124.1,50.005,44.7198,21.024,21.024,21.024,32.85,32.85,32.85,67.16
